CuisineType,RestaurantID,RestaurantName,Segment,Subregion,GrowthFactor,AOV,MonthlyOrders,InStoreOrders,InStoreRevenue,UberEatsOrders,DoorDashOrders,SelfDeliveryOrders,UberEatsRevenue,DoorDashRevenue,SelfDeliveryRevenue,COGSRate,OPEXRate,CommissionRate,DeliveryRadiusKM,DeliveryCostPerOrder,SD_DeliveryTotalCost,InStoreNetProfit,UberEatsNetProfit,DoorDashNetProfit,SelfDeliveryNetProfit,InStoreShare,UE_share,DD_share,SD_share
Burgers,25009,Lucky Burgers Eatery,Cafe,South Auckland,1.05,45.34,1036,274,12423.16,343,190,229,15551.62,8614.6,10382.86,0.267623493429273,0.392365170945413,0.31,13,3.84,879.36,4224.02,466.72,258.54,2650.93,0.36,0.45,0.25,0.3
Burgers,25107,King Burgers Eatery,Ghost Kitchen,CBD,0.99,42.53,953,62,2636.86,401,223,267,17054.53,9484.19,11355.51,0.260719021281693,0.292267443262972,0.29,10,2.95,787.65,1178.71,2677.79,1489.15,4288.42,0.07,0.45,0.25,0.3
Burgers,25352,King Burgers Bistro,Ghost Kitchen,North Shore,1.03,31.83,1354,100,3183.0,564,314,376,17952.12,9994.62,11968.08,0.259987647132948,0.224010411184281,0.33,15,4.43,1665.68,1642.43,3339.13,1859.02,4509.87,0.08,0.45,0.25,0.3
Burgers,25255,Urban Burgers Diner,Cafe,North Shore,1.03,37.65,1511,302,11370.3,544,302,363,20481.6,11370.3,13666.95,0.210879622809589,0.369592107273638,0.28,16,4.72,1713.36,4770.16,2857.76,1586.48,4020.31,0.25,0.45,0.25,0.3
Burgers,26270,Top Burgers Diner,Ghost Kitchen,CBD,0.99,42.95,1382,53,2276.35,598,332,399,25684.1,14259.4,17137.05,0.259372560633346,0.309947346220724,0.29,18,5.31,2118.69,980.38,3613.24,2006.01,5261.9,0.04,0.45,0.25,0.3
Burgers,25612,Classic Burgers Bistro,QSR,South Auckland,1.05,45.49,998,193,8779.57,362,201,242,16467.38,9143.49,11008.58,0.253722506202757,0.430719664134085,0.28,4,1.18,285.56,2770.46,585.54,325.12,3188.28,0.24,0.45,0.25,0.3
Burgers,25436,Classic Burgers Tavern,Full-service,North Shore,1.03,42.97,718,242,10398.74,214,119,143,9195.58,5113.43,6144.71,0.368939419602975,0.501108688791282,0.32,8,2.36,337.48,1351.34,-1747.6,-971.8,461.04,0.51,0.45,0.25,0.3
Burgers,25260,Classic Burgers Cafe,Full-service,West Auckland,1.04,32.34,2051,646,20891.64,632,351,422,20438.88,11351.34,13647.48,0.373705843370408,0.465107345278375,0.28,13,3.84,1620.48,3367.46,-2428.41,-1348.69,579.31,0.46,0.45,0.25,0.3
Burgers,25452,Lucky Burgers Kitchen,Cafe,CBD,0.99,30.92,1308,324,10018.08,443,246,295,13697.56,7606.32,9121.4,0.23099601617083,0.373214836767875,0.31,11,3.25,958.75,3965.05,1175.1,652.54,2651.4,0.33,0.45,0.25,0.3
Burgers,25319,King Burgers Diner,Cafe,West Auckland,1.04,45.6,799,184,8390.4,277,154,184,12631.2,7022.4,8390.4,0.279372675232589,0.399700684985146,0.29,15,4.43,815.12,2692.7,390.64,217.18,1877.58,0.3,0.45,0.25,0.3
Burgers,25132,Lucky Burgers Tavern,Ghost Kitchen,CBD,0.99,36.56,897,42,1535.52,385,214,256,14075.6,7823.84,9359.36,0.294071698107291,0.265251147735398,0.3,18,5.31,1359.36,676.67,1980.12,1100.64,2765.1,0.05,0.45,0.25,0.3
Burgers,26489,Classic Burgers Cafe,Cafe,West Auckland,1.04,36.49,1640,468,17077.32,527,293,352,19230.23,10691.57,12844.48,0.226056149750948,0.371622992213815,0.3,16,4.72,1661.44,6870.56,1967.65,1093.97,3506.16,0.4,0.45,0.25,0.3
Burgers,25040,Lucky Burgers Grill,QSR,North Shore,1.03,41.72,1452,299,12474.28,519,288,346,21652.68,12015.36,14435.12,0.24809970267117,0.389124022936448,0.32,18,5.31,1837.26,4525.37,926.22,513.97,3399.46,0.26,0.45,0.25,0.3
Burgers,25502,Top Burgers Grill,Cafe,West Auckland,1.04,34.21,899,207,7081.47,311,173,208,10639.31,5918.33,7115.68,0.247309528961778,0.350396152329631,0.31,3,0.89,185.12,2848.84,981.95,546.23,2677.48,0.3,0.45,0.25,0.3
Burgers,25889,Top Burgers Bistro,QSR,North Shore,1.03,40.18,1334,231,9281.58,496,276,331,19929.28,11089.68,13299.58,0.238772939294577,0.433020327752456,0.31,17,5.02,1661.62,3046.28,362.85,201.91,2703.39,0.21,0.45,0.25,0.3
Burgers,25283,Urban Burgers Grill,Cafe,South Auckland,1.05,42.16,571,151,6366.16,189,105,126,7968.24,4426.8,5312.16,0.27608444660902,0.441550263715908,0.29,4,1.18,148.68,1797.58,-60.84,-33.8,1351.29,0.36,0.45,0.25,0.3
Burgers,25366,Classic Burgers Tavern,Full-service,West Auckland,1.04,45.99,701,214,9841.86,219,122,146,10071.81,5610.78,6714.54,0.392565074376762,0.450436520925723,0.27,4,1.18,172.28,1545.16,-1138.13,-634.03,881.89,0.44,0.45,0.25,0.3
Burgers,25247,Lucky Burgers Kitchen,Cafe,South Auckland,1.05,34.73,1151,304,10557.92,381,212,254,13232.13,7362.76,8821.42,0.20139017611742,0.416730785742402,0.31,5,1.48,375.92,4031.85,951.11,529.23,2992.8,0.36,0.45,0.25,0.3
Burgers,25004,King Burgers Cafe,Ghost Kitchen,South Auckland,1.05,34.64,1629,106,3671.84,685,381,457,23728.4,13197.84,15830.48,0.259387835033704,0.336022477445658,0.32,18,5.31,2426.67,1485.59,2007.18,1116.4,3978.18,0.07,0.45,0.25,0.3
Burgers,25853,Classic Burgers Tavern,Ghost Kitchen,CBD,0.99,31.34,1519,72,2256.48,651,362,434,20402.34,11345.08,13601.56,0.272829318465665,0.319570669706445,0.32,5,1.48,642.32,919.74,1787.25,993.83,4901.68,0.05,0.45,0.25,0.3
Burgers,25005,Classic Burgers Bistro,Ghost Kitchen,South Auckland,1.05,39.35,1305,85,3344.75,549,305,366,21603.15,12001.75,14402.1,0.285651653038803,0.280214194732253,0.3,9,2.66,973.56,1452.07,2897.72,1609.84,5278.88,0.07,0.45,0.25,0.3
Burgers,25077,Lucky Burgers House,Cafe,CBD,0.99,39.76,1641,378,15029.28,568,316,379,22583.68,12564.16,15069.04,0.211968362163752,0.366120141441934,0.31,14,4.13,1565.27,6341.03,2527.37,1406.07,4792.53,0.3,0.45,0.25,0.3
Burgers,25856,Top Burgers Cafe,Cafe,West Auckland,1.04,34.59,1501,328,11345.52,528,293,352,18263.52,10134.87,12175.68,0.212431895472109,0.353694221447222,0.3,8,2.36,830.72,4922.52,2445.01,1356.79,4451.99,0.28,0.45,0.25,0.3
Burgers,25886,Urban Burgers Bistro,Ghost Kitchen,South Auckland,1.05,35.87,1180,77,2761.99,496,276,331,17791.52,9900.12,11872.97,0.254884610173758,0.256033067405224,0.32,17,5.02,1661.62,1350.84,3008.23,1673.94,4145.24,0.07,0.45,0.25,0.3
Burgers,25133,Top Burgers Corner,Full-service,South Auckland,1.05,44.46,2051,636,28276.56,637,354,424,28321.02,15738.84,18851.04,0.386117483489215,0.498271016147919,0.27,12,3.54,1500.96,3269.1,-4372.44,-2429.9,678.44,0.45,0.45,0.25,0.3
Burgers,25377,Lucky Burgers Bistro,Full-service,South Auckland,1.05,39.78,1449,442,17582.76,453,252,302,18020.34,10024.56,12013.56,0.380261697387323,0.519352306029759,0.28,4,1.18,356.36,1765.06,-3236.71,-1800.55,849.63,0.44,0.45,0.25,0.3
Burgers,25245,Lucky Burgers Cafe,QSR,North Shore,1.03,43.22,1634,294,12706.68,603,335,402,26061.66,14478.7,17374.44,0.241746065188199,0.40828570977319,0.32,3,0.89,357.78,4446.93,781.02,433.9,5722.72,0.22,0.45,0.25,0.3
Burgers,25861,Classic Burgers Diner,Cafe,West Auckland,1.04,38.26,1934,490,18747.4,650,361,433,24869.0,13811.86,16566.58,0.236518038548529,0.38063013474457,0.28,13,3.84,1662.72,7177.48,2557.82,1420.58,4679.83,0.34,0.45,0.25,0.3
Burgers,25257,King Burgers Bistro,QSR,South Auckland,1.05,44.28,1873,350,15498.0,685,381,457,30331.8,16870.68,20235.96,0.216959698665887,0.412135697645135,0.3,9,2.66,1215.62,5748.28,2150.66,1196.21,6289.99,0.23,0.45,0.25,0.3
Burgers,25378,King Burgers Cafe,QSR,North Shore,1.03,37.56,1595,298,11192.88,584,324,389,21935.04,12169.44,14610.84,0.232022813316435,0.378713312605396,0.32,10,2.95,1147.55,4356.98,1519.31,842.9,4539.92,0.23,0.45,0.25,0.3
Burgers,26108,King Burgers House,Ghost Kitchen,North Shore,1.03,44.4,668,60,2664.0,274,152,182,12165.6,6748.8,8080.8,0.253680308535695,0.260938313254155,0.33,11,3.25,591.5,1293.06,1890.31,1048.64,3330.77,0.1,0.45,0.25,0.3
Burgers,25501,Classic Burgers Eatery,Cafe,South Auckland,1.05,39.67,1315,395,15669.65,414,230,276,16423.38,9124.1,10948.92,0.254867386501282,0.375745487166569,0.3,7,2.07,571.32,5788.17,1139.57,633.1,3473.07,0.43,0.45,0.25,0.3
Burgers,26230,Top Burgers Kitchen,Cafe,CBD,0.99,42.19,1387,374,15779.06,456,253,304,19238.64,10674.07,12825.76,0.207379126213491,0.384480268880725,0.3,15,4.43,1346.72,6440.08,2080.48,1154.3,3887.99,0.37,0.45,0.25,0.3
Burgers,26313,Classic Burgers Diner,Full-service,South Auckland,1.05,36.32,604,166,6029.12,197,110,131,7155.04,3995.2,4757.92,0.393435937189497,0.505011981772259,0.3,12,3.54,463.74,612.27,-1419.9,-792.84,19.44,0.38,0.45,0.25,0.3
Burgers,25775,Lucky Burgers Tavern,QSR,South Auckland,1.05,36.5,1366,273,9964.5,492,273,328,17958.0,9964.5,11972.0,0.202122342158109,0.395233107497916,0.29,3,0.89,291.92,4012.15,2022.87,1122.45,4528.54,0.25,0.45,0.25,0.3
Burgers,26274,Urban Burgers Bistro,Cafe,West Auckland,1.04,43.42,1527,352,15283.84,529,294,352,22969.18,12765.48,15283.84,0.220944037288427,0.393518741847947,0.31,7,2.07,728.64,5892.49,1735.03,964.27,5163.85,0.3,0.45,0.25,0.3
Burgers,26100,Urban Burgers House,QSR,South Auckland,1.05,42.81,1119,216,9246.96,406,226,271,17380.86,9675.06,11601.51,0.232086842898279,0.351238823961467,0.32,6,1.77,479.67,3852.97,1680.28,935.33,4354.38,0.24,0.45,0.25,0.3
Burgers,25779,Classic Burgers Grill,Full-service,CBD,0.99,34.31,1833,642,22027.02,536,298,357,18390.16,10224.38,12248.67,0.366821483511012,0.451014979300089,0.28,5,1.48,528.36,4012.52,-1799.23,-1000.32,1702.9,0.54,0.45,0.25,0.3
Burgers,26101,King Burgers Tavern,Full-service,CBD,0.99,32.18,597,164,5277.52,195,108,130,6275.1,3475.44,4183.4,0.378334257286042,0.516466749412939,0.33,18,5.31,690.3,555.19,-1410.65,-781.28,-250.21,0.38,0.45,0.25,0.3
Burgers,25053,King Burgers Tavern,Full-service,West Auckland,1.04,33.51,1661,499,16721.49,523,290,349,17525.73,9717.9,11694.99,0.396553314290941,0.485376674565487,0.28,12,3.54,1235.46,1974.31,-2837.94,-1573.62,145.37,0.43,0.45,0.25,0.3
Burgers,25631,Classic Burgers Grill,Full-service,South Auckland,1.05,36.33,1499,525,19073.25,438,244,292,15912.54,8864.52,10608.36,0.372706734831445,0.524310493981466,0.28,12,3.54,1033.68,1964.22,-2816.79,-1569.17,58.8,0.54,0.45,0.25,0.3
Burgers,26360,Urban Burgers Bistro,Cafe,North Shore,1.03,44.7,1528,361,16136.7,525,292,350,23467.5,13052.4,15645.0,0.267324640452862,0.437447387818247,0.33,12,3.54,1239.0,4764.01,-816.01,-453.86,3379.84,0.31,0.45,0.25,0.3
Burgers,26079,Top Burgers Eatery,Cafe,CBD,0.99,43.28,562,166,7184.48,178,99,119,7703.84,4284.72,5150.32,0.243581773433834,0.436767387227155,0.31,14,4.13,491.47,2296.53,74.35,41.35,1154.83,0.42,0.45,0.25,0.3
Burgers,25111,Classic Burgers Kitchen,Ghost Kitchen,South Auckland,1.05,46.57,1487,122,5681.54,614,341,410,28593.98,15880.37,19093.7,0.29746993877925,0.321676251804456,0.29,13,3.84,1574.4,2163.84,2597.87,1442.79,5697.51,0.09,0.45,0.25,0.3
Burgers,25595,Top Burgers Kitchen,QSR,West Auckland,1.04,37.61,1276,271,10192.31,452,251,302,16999.72,9440.11,11358.22,0.218210295401514,0.37306306483224,0.3,14,4.13,1247.26,4165.87,1848.32,1026.39,3395.15,0.27,0.45,0.25,0.3
Burgers,25881,Lucky Burgers Diner,QSR,CBD,0.99,36.87,1197,199,7337.13,449,250,299,16554.63,9217.5,11024.13,0.201856870297343,0.401524102664553,0.28,15,4.43,1324.57,2910.05,1930.58,1074.94,3047.81,0.2,0.45,0.25,0.3
Burgers,26244,Urban Burgers House,Cafe,West Auckland,1.04,34.3,1728,356,12210.8,617,343,412,21163.1,11764.9,14131.6,0.24282123086974,0.435210464918055,0.33,17,5.02,2068.24,3931.49,-169.98,-94.49,2481.69,0.26,0.45,0.25,0.3
Burgers,26245,Classic Burgers Corner,Full-service,North Shore,1.03,35.96,697,226,8126.96,212,118,141,7623.52,4243.28,5070.36,0.369292362453416,0.529286201111972,0.29,6,1.77,249.57,824.25,-1437.63,-800.19,264.67,0.48,0.45,0.25,0.3
Burgers,26490,Classic Burgers Eatery,Full-service,West Auckland,1.04,41.27,1437,485,20015.95,428,238,286,17663.56,9822.26,11803.22,0.381961005600169,0.502269128710031,0.32,14,4.13,1181.18,2317.24,-3607.43,-2006.0,185.28,0.51,0.45,0.25,0.3
Burgers,25400,Top Burgers Corner,Ghost Kitchen,West Auckland,1.04,44.01,1458,95,4180.95,613,341,409,26978.13,15007.41,18000.09,0.287121943430975,0.263713604072109,0.29,14,4.13,1689.17,1877.93,4293.96,2388.65,6395.83,0.07,0.45,0.25,0.3
Burgers,26532,King Burgers House,Full-service,North Shore,1.03,34.87,2227,722,25176.14,677,376,452,23606.99,13111.12,15761.24,0.383675677911378,0.470021476503462,0.31,8,2.36,1066.72,3683.34,-3864.4,-2146.25,1239.19,0.48,0.45,0.25,0.3
Burgers,25267,King Burgers Kitchen,Cafe,West Auckland,1.04,35.82,818,238,8525.16,261,145,174,9349.02,5193.9,6232.68,0.210430280975997,0.436889241216704,0.28,4,1.18,205.32,3006.66,679.49,377.5,1992.82,0.41,0.45,0.25,0.3
Burgers,25119,Classic Burgers Eatery,Cafe,CBD,0.99,33.49,1265,253,8472.97,455,253,304,15237.95,8472.97,10180.96,0.238450531568378,0.443626348115504,0.3,5,1.48,449.92,2693.75,273.11,151.86,2786.84,0.25,0.45,0.25,0.3
Burgers,26494,Top Burgers House,Full-service,CBD,0.99,41.87,1466,475,19888.25,446,248,297,18674.02,10383.76,12435.39,0.387959811929613,0.479524135775864,0.31,11,3.25,965.25,2635.51,-3314.34,-1842.95,682.64,0.48,0.45,0.25,0.3
Burgers,25161,Top Burgers Corner,Cafe,West Auckland,1.04,40.42,1119,319,12893.98,360,200,240,14551.2,8084.0,9700.8,0.279486142154783,0.420557478116825,0.3,13,3.84,921.6,3867.63,-0.63,-0.35,1988.22,0.4,0.45,0.25,0.3
Burgers,26214,Urban Burgers Corner,Cafe,CBD,0.99,37.88,1694,370,14015.6,596,331,397,22576.48,12538.28,15038.36,0.258535533044487,0.356650849501602,0.33,18,5.31,2108.07,5393.39,1237.5,687.27,3678.9,0.28,0.45,0.25,0.3
Burgers,25528,Lucky Burgers Bistro,QSR,North Shore,1.03,36.79,1652,361,13281.19,581,323,387,21374.99,11883.17,14237.73,0.204108449220657,0.449127485696226,0.28,10,2.95,1141.65,4605.44,1427.08,793.37,3795.48,0.28,0.45,0.25,0.3
Burgers,25973,King Burgers Kitchen,Full-service,West Auckland,1.04,37.44,591,153,5728.32,197,110,131,7375.68,4118.4,4904.64,0.372759494010825,0.487910197372548,0.27,13,3.84,503.04,798.13,-963.78,-538.15,180.33,0.35,0.45,0.25,0.3
Burgers,25730,Top Burgers Eatery,QSR,CBD,0.99,39.64,1809,395,15657.8,636,354,424,25211.04,14032.56,16807.36,0.239658871367574,0.433120136964135,0.32,5,1.48,627.52,5123.56,182.05,101.33,4872.2,0.28,0.45,0.25,0.3
Burgers,26135,King Burgers Tavern,Full-service,CBD,0.99,34.74,1202,395,13722.3,363,202,242,12610.62,7017.48,8407.08,0.380201764998492,0.464409941108897,0.31,18,5.31,1285.02,2132.28,-1949.75,-1084.98,21.34,0.49,0.45,0.25,0.3
Burgers,26380,Classic Burgers Tavern,Full-service,CBD,0.99,39.01,1834,505,19700.05,598,332,399,23327.98,12951.32,15564.99,0.393061458598822,0.511228195345029,0.28,11,3.25,1296.75,1885.5,-4299.11,-2386.79,192.98,0.38,0.45,0.25,0.3
Burgers,25895,Top Burgers Corner,Full-service,West Auckland,1.04,46.39,1073,376,17442.64,314,174,209,14566.46,8071.86,9695.51,0.377299415611196,0.472256360342726,0.31,6,1.77,369.93,2624.14,-2324.16,-1287.91,1088.7,0.54,0.45,0.25,0.3
Burgers,25330,Urban Burgers Tavern,Ghost Kitchen,North Shore,1.03,44.91,1161,65,2919.15,493,274,329,22140.63,12305.34,14775.39,0.262536822527181,0.2416238550446,0.27,17,5.02,1651.58,1447.43,5000.22,2779.03,5674.64,0.06,0.45,0.25,0.3
Burgers,25170,Lucky Burgers Tavern,QSR,West Auckland,1.04,46.04,1530,334,15377.36,538,299,359,24769.52,13765.96,16528.36,0.217860502731055,0.394324672338553,0.29,12,3.54,1270.86,5963.57,2422.83,1346.51,5139.08,0.28,0.45,0.25,0.3
Burgers,25442,Classic Burgers Grill,Cafe,West Auckland,1.04,43.24,1155,318,13750.32,377,209,251,16301.48,9037.16,10853.24,0.264888013489544,0.398093697498553,0.3,4,1.18,296.18,4634.11,603.45,334.54,3361.56,0.38,0.45,0.25,0.3
Burgers,26588,Lucky Burgers Corner,Cafe,West Auckland,1.04,38.95,2083,540,21033.0,694,386,463,27031.3,15034.7,18033.85,0.248576239868999,0.371197632467374,0.33,10,2.95,1365.85,7997.3,1357.68,755.13,5491.09,0.35,0.45,0.25,0.3
Burgers,25294,Lucky Burgers Tavern,Ghost Kitchen,CBD,0.99,34.43,998,82,2823.26,412,229,275,14185.16,7884.47,9468.25,0.262558714870829,0.207000498892739,0.33,9,2.66,731.5,1497.57,2843.28,1580.37,4290.85,0.09,0.45,0.25,0.3
Burgers,25174,Classic Burgers Corner,Full-service,North Shore,1.03,33.99,1728,544,18490.56,533,296,355,18116.67,10061.04,12066.45,0.383637686388101,0.547367854113691,0.32,15,4.43,1572.65,1275.75,-4547.38,-2525.38,-740.13,0.46,0.45,0.25,0.3
Burgers,25376,Top Burgers House,Ghost Kitchen,South Auckland,1.05,43.85,1531,100,4385.0,644,358,429,28239.4,15698.3,18811.65,0.29566688031191,0.349170912150294,0.29,16,4.72,2024.88,1557.39,1840.14,1022.94,4656.31,0.07,0.45,0.25,0.3
Burgers,25418,Top Burgers Eatery,Cafe,North Shore,1.03,43.29,1941,593,25670.97,607,337,404,26277.03,14588.73,17489.16,0.239532025568187,0.372590851527639,0.27,6,1.77,715.08,9957.18,3097.46,1719.68,6068.57,0.44,0.45,0.25,0.3
Burgers,25015,Lucky Burgers Grill,QSR,CBD,0.99,34.71,1299,276,9579.96,460,256,307,15966.6,8885.76,10655.97,0.221846213359386,0.446916462201625,0.32,3,0.89,273.23,3173.24,179.42,99.85,3256.42,0.27,0.45,0.25,0.3
Burgers,26027,Urban Burgers Bistro,Cafe,West Auckland,1.04,38.25,1123,303,11589.75,369,205,246,14114.25,7841.25,9409.5,0.243503914065659,0.42334763079416,0.3,13,3.84,944.64,3861.11,467.87,259.93,2190.12,0.37,0.45,0.25,0.3
Burgers,26391,Classic Burgers Bistro,Ghost Kitchen,North Shore,1.03,43.92,805,45,1976.4,342,190,228,15020.64,8344.8,10013.76,0.295922063931357,0.23290582903428,0.28,14,4.13,941.64,931.22,2871.53,1595.29,3776.56,0.06,0.45,0.25,0.3
Burgers,26514,Lucky Burgers Corner,QSR,West Auckland,1.04,36.38,638,106,3856.28,239,133,160,8694.82,4838.54,5820.8,0.248522782940418,0.386922581051476,0.31,17,5.02,803.2,1405.82,474.34,263.96,1318.8,0.2,0.45,0.25,0.3
Burgers,26677,Top Burgers Tavern,Cafe,South Auckland,1.05,34.3,1342,333,11421.9,454,252,303,15572.2,8643.6,10392.9,0.216553137414157,0.409603461413644,0.29,13,3.84,1163.52,4270.0,1305.63,724.71,2721.8,0.33,0.45,0.25,0.3
Burgers,25181,King Burgers Cafe,Full-service,South Auckland,1.05,36.18,2043,594,21490.92,652,362,435,23589.36,13097.16,15738.3,0.370753841416445,0.5194696117891,0.28,9,2.66,1157.1,2359.2,-4015.46,-2229.44,570.6,0.41,0.45,0.25,0.3
Burgers,25468,Top Burgers House,Full-service,West Auckland,1.04,32.39,1216,383,12405.37,375,208,250,12146.25,6737.12,8097.5,0.385193350294139,0.526770381326787,0.31,3,0.89,222.5,1092.12,-2696.03,-1495.4,490.37,0.46,0.45,0.25,0.3
Burgers,26586,King Burgers Bistro,Full-service,West Auckland,1.04,36.69,1582,498,18271.62,488,271,325,17904.72,9942.99,11924.25,0.357282414881047,0.527841170760803,0.28,12,3.54,1150.5,2098.98,-2956.49,-1641.82,219.32,0.46,0.45,0.25,0.3
Burgers,26141,Lucky Burgers Eatery,Full-service,West Auckland,1.04,34.93,1402,378,13203.54,461,256,307,16102.73,8942.08,10723.51,0.391132951912005,0.514671805570833,0.28,9,2.66,816.62,1243.71,-2991.96,-1661.48,193.48,0.37,0.45,0.25,0.3
Burgers,25268,King Burgers Corner,Cafe,CBD,0.99,37.1,904,253,9386.3,293,163,195,10870.3,6047.3,7234.5,0.217014490831643,0.400262145348825,0.28,16,4.72,920.4,3592.36,1116.63,621.2,1848.41,0.39,0.45,0.25,0.3
Burgers,25308,Urban Burgers House,QSR,West Auckland,1.04,44.68,1854,334,14923.12,684,380,456,30561.12,16978.4,20374.08,0.241154740788043,0.358429965469986,0.31,15,4.43,2020.08,5975.45,2763.19,1535.11,6138.01,0.22,0.45,0.25,0.3
Burgers,25067,Classic Burgers Kitchen,Full-service,CBD,0.99,43.14,1160,343,14797.02,368,204,245,15875.52,8800.56,10569.3,0.35827633588342,0.504268040694296,0.31,11,3.25,796.25,2033.93,-2739.23,-1518.49,656.56,0.42,0.45,0.25,0.3
Burgers,26241,Top Burgers Eatery,QSR,South Auckland,1.05,38.16,1019,190,7250.4,373,207,249,14233.68,7899.12,9501.84,0.24545091053471,0.423436920926906,0.32,12,3.54,881.46,2400.7,158.17,87.78,2264.71,0.23,0.45,0.25,0.3
Burgers,26201,Classic Burgers House,Full-service,South Auckland,1.05,40.9,1340,409,16728.1,419,233,279,17137.1,9529.7,11411.1,0.385463857045397,0.521124046226032,0.32,11,3.25,906.75,1562.61,-3883.06,-2159.31,159.18,0.44,0.45,0.25,0.3
Burgers,25272,Urban Burgers Eatery,QSR,CBD,0.99,32.02,1165,225,7204.5,423,235,282,13544.46,7524.7,9029.64,0.203551977090538,0.444050269783475,0.32,8,2.36,665.52,2538.85,438.81,243.78,2516.5,0.24,0.45,0.25,0.3
Burgers,25192,Lucky Burgers Bistro,Cafe,South Auckland,1.05,43.45,1384,351,15250.95,465,258,310,20204.25,11210.1,13469.5,0.23134801954031,0.434121696907096,0.32,9,2.66,824.6,5101.9,293.57,162.89,3681.36,0.34,0.45,0.25,0.3
Burgers,25435,Classic Burgers Bistro,QSR,West Auckland,1.04,45.13,1249,225,10154.25,461,256,307,20804.93,11553.28,13854.91,0.213164031673223,0.396249585878104,0.33,18,5.31,1630.17,3966.11,1260.5,699.97,3781.37,0.22,0.45,0.25,0.3
Burgers,25678,Urban Burgers Eatery,QSR,CBD,0.99,43.24,772,139,6010.36,285,158,190,12323.4,6831.92,8215.6,0.237665633372962,0.396260366705246,0.32,12,3.54,672.6,2200.24,567.79,314.77,2334.92,0.22,0.45,0.25,0.3
Burgers,26286,King Burgers Tavern,QSR,South Auckland,1.05,45.42,1742,337,15306.54,632,351,422,28705.44,15942.42,19167.24,0.21829391522333,0.417047550738789,0.28,14,4.13,1742.86,5581.66,2430.16,1349.66,5246.64,0.24,0.45,0.25,0.3
Burgers,26246,Lucky Burgers Bistro,QSR,West Auckland,1.04,38.73,1299,276,10689.48,460,256,307,17815.8,9914.88,11890.11,0.268982828743756,0.391698328708299,0.27,5,1.48,454.36,3627.14,1234.97,687.29,3580.18,0.27,0.45,0.25,0.3
